Brightness,Greenness,Wetness,Label
3713.813,-609.1624,-1463.6226,4
5080.507,-578.187,-2138.7751,4
3380.547,-302.90494,-1479.9426,4
4229.3696,-493.87192,-1778.3063,4
4798.0547,-497.3766,-2124.817,4
3639.9014,-414.20444,-1561.0961,4
1787.6927,-211.29674,-707.70337,4
3164.7063,-331.86734,-1413.723,4
4398.2886,-399.49405,-1926.215,4
201.52774,-173.81874,41.670456,4
7841.4775,-853.7026,-3325.1545,4
6136.416,-678.82367,-2598.1377,4
1899.1139,-232.64687,-830.5528,4
3210.9875,-697.2017,-1266.8876,4
1361.1229,-188.42302,-611.1967,4
4231.0557,-846.39,-1631.1246,4
4572.719,-805.6905,-1886.5807,4
1417.3612,-178.26424,-632.7592,4
1791.4277,-675.773,-460.65878,4
2521.3052,-237.73653,-1048.1748,4
272.17352,-259.77582,38.006687,4
1785.0126,-128.3633,-826.93463,4
4738.7207,-321.26416,-2235.7722,4
3877.0442,-416.31674,-1594.6967,4
2273.3477,-216.61386,-1004.9489,4
4850.938,-1064.2759,-1743.0385,4
6120.8804,-597.6635,-2724.2085,4
6054.6235,-703.38965,-2608.3987,4
3788.9417,-244.77289,-1810.9318,4
4188.691,-1054.6952,-1641.9257,4
3070.227,-320.2661,-1415.9807,4
289.59985,-269.9894,74.06576,4
5941.4375,-216.82407,-2965.4475,4
3461.6448,-269.83643,-1585.3778,4
3776.9822,-1153.7242,-1138.4067,4
7393.473,-608.57983,-3253.9065,4
3350.1978,-1010.5283,-1132.9932,4
6120.454,-1441.2181,-2197.9678,4
