Brightness,Greenness,Wetness,Label
672.2394,-626.8784,238.958,0
674.4299,-628.4149,234.9013,0
670.2299,-613.4479,238.3345,0
657.7664,-602.1997,229.8374,0
666.2668,-610.1179,232.7972,0
669.2101,-609.634,231.2066,0
674.8514,-617.3991,232.6404,0
678.0843,-619.613,235.3078,0
680.1923,-631.7396,218.0459,0
672.9844,-637.7291,243.9056,0
684.9767,-645.2626,237.478,0
670.183,-609.2132,222.7708,0
680.6265,-619.2818,230.8737,0
681.1009,-629.5492,235.6683,0
680.4839,-625.9333,237.5177,0
667.1561,-614.7068,234.0044,0
664.3285,-605.8576,229.5704,0
665.6584,-608.2775,231.6665,0
667.4403,-611.1228,228.1596,0
666.9979,-616.7298,225.7254,0
672.3555,-621.3035,237.6442,0
677.7818,-626.8651,226.2698,0
678.5732,-629.4944,234.711,0
672.4142,-614.4817,217.8038,0
679.2561,-621.4557,227.2501,0
677.1465,-619.9896,236.4241,0
673.4609,-622.9806,227.5186,0
682.1326,-619.8912,223.2169,0
666.5286,-611.7699,222.2403,0
662.0444,-604.0804,227.4828,0
659.1949,-604.315,231.0505,0
668.829,-607.1171,227.7406,0
670.5865,-619.3466,230.9789,0
668.1747,-613.6871,239.2656,0
680.6342,-623.0191,228.2971,0
685.5549,-630.3334,224.8636,0
681.5635,-627.858,224.6687,0
675.709,-616.0506,223.1347,0
673.2527,-621.1503,233.3099,0
682.5371,-617.5122,227.1188,0
674.2169,-606.0509,216.591,0
667.4276,-610.9587,218.1162,0
672.0889,-614.4873,229.9616,0
662.6422,-613.1774,236.4155,0
678.0427,-613.8762,228.8568,0
665.3675,-618.9934,225.115,0
669.1375,-629.2936,240.4074,0
679.9894,-633.4955,233.1958,0
674.4908,-620.1753,214.6995,0
673.2435,-612.3968,229.8308,0
666.7638,-615.6441,226.7775,0
677.5273,-620.0845,222.7779,0
666.4563,-606.1959,207.6415,0
667.023,-609.9873,211.6335,0
670.6001,-614.2615,230.3117,0
664.7161,-611.1522,243.8148,0
675.0204,-622.3253,235.5298,0
668.6029,-626.2355,236.3715,0
674.518,-637.2368,231.3686,0
694.7481,-644.6696,236.0526,0
701.7133,-644.4234,227.2805,0
680.1397,-623.5614,222.0064,0
686.2289,-625.9031,227.9297,0
677.2235,-620.2332,227.6511,0
677.1784,-623.0322,218.8625,0
664.677,-611.1476,206.5093,0
664.1667,-605.5093,216.9627,0
653.4616,-596.6737,227.9215,0
665.2501,-611.4746,247.3788,0
665.8984,-621.6692,241.3499,0
674.0627,-628.949,232.4768,0
685.5195,-645.5281,223.5086,0
697.8746,-645.6106,226.3836,0
681.0183,-625.5911,219.4754,0
682.1595,-621.8182,220.0766,0
663.4894,-608.3564,216.1174,0
667.2678,-612.5806,212.3743,0
664.6232,-612.178,215.2241,0
657.4422,-598.8091,227.0258,0
658.0699,-601.8067,239.3319,0
654.9466,-599.1521,239.9726,0
657.0264,-619.345,240.4659,0
675.7658,-633.9074,225.0305,0
690.6041,-650.0884,210.5255,0
699.7608,-641.5794,237.7677,0
694.3356,-636.0224,228.0826,0
674.4029,-618.1949,214.4617,0
675.373,-610.8153,207.3465,0
667.9962,-613.1832,215.0798,0
657.0623,-620.6581,220.581,0
654.8788,-606.3466,224.9545,0
656.0828,-601.0841,239.1882,0
660.3548,-606.3803,242.4334,0
656.521,-613.3102,249.3619,0
662.5925,-620.883,239.0421,0
672.6472,-641.4937,228.6206,0
690.5532,-621.3034,222.2256,0
686.5102,-619.9414,225.4067,0
666.9026,-605.7385,208.6283,0
660.6113,-597.7296,194.6959,0
658.0236,-612.8043,215.4717,0
653.1745,-616.6692,233.2334,0
653.6965,-615.3538,236.9039,0
650.2241,-602.559,235.3977,0
657.9514,-609.533,231.4916,0
658.1211,-611.0381,240.8539,0
673.3627,-617.731,231.5167,0
682.9335,-638.9154,231.666,0
686.7541,-621.5676,213.4638,0
684.1008,-613.5202,217.267,0
671.8083,-597.8495,218.2313,0
655.7577,-586.8829,206.5697,0
642.3134,-583.3153,209.6178,0
641.7992,-594.6928,232.2139,0
639.7257,-605.4913,243.7437,0
644.8041,-605.9873,231.9842,0
651.4228,-601.4278,228.0756,0
654.1322,-603.5114,222.408,0
663.1432,-612.7122,231.8309,0
671.647,-607.6282,225.053,0
669.6288,-607.7892,220.5633,0
662.6761,-592.6386,221.1906,0
660.5225,-586.4673,216.9648,0
635.8585,-583.1741,223.8395,0
631.9474,-573.7059,222.6212,0
624.4233,-573.7157,221.8328,0
621.3902,-576.5984,224.5229,0
637.5397,-594.4078,218.3862,0
656.5624,-603.7845,221.5933,0
661.9722,-604.6141,228.3836,0
664.8603,-614.7268,221.6976,0
678.6115,-609.6216,230.57,0
656.1668,-593.019,233.8549,0
657.1,-584.4188,209.5319,0
642.383,-572.1352,216.9638,0
628.2426,-584.6692,249.092,0
634.5058,-578.6496,238.9584,0
617.897,-563.4925,215.0679,0
621.1218,-573.494,219.9037,0
630.9956,-586.0546,220.7052,0
651.0488,-598.3569,228.8872,0
661.7399,-600.2323,223.9269,0
674.8851,-621.2082,228.7922,0
655.8964,-590.4791,223.7699,0
647.8626,-574.1074,197.701,0
631.9424,-565.2121,223.5919,0
627.597,-583.3144,244.29,0
629.8728,-571.933,231.7601,0
626.3386,-569.6626,214.1877,0
613.1782,-561.463,207.5005,0
631.6539,-590.1302,229.8883,0
646.3028,-592.9013,231.8792,0
652.5271,-601.2438,216.928,0
673.5331,-620.4818,227.3729,0
637.503,-572.519,218.1822,0
631.6984,-573.6834,216.377,0
633.1686,-576.9355,224.594,0
620.2584,-566.2447,223.6669,0
619.8761,-562.5341,217.4528,0
630.8494,-583.392,237.0625,0
635.9324,-585.7534,232.1695,0
655.3427,-609.5944,225.7787,0
668.609,-612.5116,228.6421,0
628.7964,-580.2552,222.1793,0
624.6629,-573.0314,228.1754,0
